"Time","my_snoring.mean"
2021-12-04 05:52:55,0.0657
2021-12-04 05:53:00,0.0660
2021-12-04 05:53:05,0.0660
2021-12-04 05:53:10,0.0653
2021-12-04 05:53:15,0.0654
2021-12-04 05:53:20,0.0661
2021-12-04 05:53:25,0.0659
2021-12-04 05:53:30,0.0658
2021-12-04 05:53:35,0.0661
2021-12-04 05:53:40,0.0657
2021-12-04 05:53:45,0.0661
2021-12-04 05:53:50,0.0660
2021-12-04 05:53:55,0.0655
2021-12-04 05:54:00,0.0656
2021-12-04 05:54:05,0.0659
2021-12-04 05:54:10,0.0661
2021-12-04 05:54:15,0.0652
2021-12-04 05:54:20,0.0643
2021-12-04 05:54:25,0.0658
2021-12-04 05:54:30,0.0656
2021-12-04 05:54:35,0.0660
2021-12-04 05:54:40,0.0660
2021-12-04 05:54:45,0.0661
2021-12-04 05:54:50,0.0658
2021-12-04 05:54:55,0.0659
2021-12-04 05:55:00,0.0661
2021-12-04 05:55:05,0.0660
2021-12-04 05:55:10,0.0664
2021-12-04 05:55:15,0.0659
2021-12-04 05:55:20,0.121
2021-12-04 05:55:25,0.0658
2021-12-04 05:55:30,0.114
2021-12-04 05:55:35,0.0660
2021-12-04 05:55:40,0.0661
2021-12-04 05:55:45,0.0660
2021-12-04 05:55:50,0.0849
2021-12-04 05:55:55,0.135
2021-12-04 05:56:00,0.0728
2021-12-04 05:56:05,0.135
2021-12-04 05:56:10,0.0653
2021-12-04 05:56:15,0.0662
2021-12-04 05:56:20,0.0658
2021-12-04 05:56:25,0.0668
2021-12-04 05:56:30,0.0660
2021-12-04 05:56:35,0.0770
2021-12-04 05:56:40,0.0658
2021-12-04 05:56:45,0.0660
2021-12-04 05:56:50,0.0661
2021-12-04 05:56:55,0.108
2021-12-04 05:57:00,0.0706
2021-12-04 05:57:05,0.114
2021-12-04 05:57:10,0.0736
2021-12-04 05:57:15,0.0720
2021-12-04 05:57:20,0.0659
2021-12-04 05:57:25,0.0657
2021-12-04 05:57:30,0.0732
2021-12-04 05:57:35,0.0660
2021-12-04 05:57:40,0.132
2021-12-04 05:57:45,0.0658
2021-12-04 05:57:50,0.0738
